name,rank,count
MALONE,465,71286
CANNON,466,71085
TATE,467,71058
MACK,468,71056
SHERMAN,469,70502
HUBBARD,470,70362
HODGES,471,70223
ZHANG,472,70125
GUERRA,473,70071
WOLF,474,70031
VALENCIA,475,70000
SAUNDERS,476,69943
FRANCO,476,69943
ROWE,478,69879
GALLAGHER,479,69834
FARMER,480,69617
HAMMOND,481,69515
HAMPTON,482,69472
TOWNSEND,483,69360
INGRAM,484,69345
WISE,485,68649
GALLEGOS,486,68373
CLARKE,487,68281
BARTON,488,68233
SCHROEDER,489,67977
MAXWELL,490,67961
WATERS,491,67929
LOGAN,492,67909
CAMACHO,493,67893
STRICKLAND,494,67769
NORMAN,495,67704
PERSON,496,67411
COLON,497,67338
PARSONS,498,67310
FRANK,499,67304
HARRINGTON,500,66959
GLOVER,501,66858
OSBORNE,502,66827
BUCHANAN,503,66648
CASEY,504,66556
FLOYD,505,66454
PATTON,506,66293
IBARRA,507,66063
BALL,508,66059
TYLER,509,66056
SUAREZ,510,66013
BOWERS,511,66003
OROZCO,512,65904
SALAS,513,65468
COBB,514,65125
GIBBS,515,65064
ANDRADE,516,65037
BAUER,517,65004
CONNER,518,64572
MOODY,519,64429
ESCOBAR,520,64403
MCGUIRE,521,64327
LLOYD,522,64202
MUELLER,523,64191
HARTMAN,524,64106
FRENCH,525,63991
KRAMER,526,63936
MCBRIDE,527,63899
POPE,528,63881
LINDSEY,529,63760
VELAZQUEZ,530,63736
NORTON,531,63722
MCCORMICK,532,63649
SPARKS,533,63440
FLYNN,534,63400
YATES,535,63254
HOGAN,536,63085
MARSH,537,62304
MACIAS,538,62227
VILLANUEVA,539,61883
ZAMORA,540,61729
PRATT,541,61671
STOKES,542,61639
OWEN,543,61630
BALLARD,544,61625
LANG,545,61529
BROCK,546,61369
VILLARREAL,547,61355
CHARLES,548,61211
DRAKE,549,61162
BARRERA,550,60998
CAIN,551,60948
PATRICK,552,60845
PINEDA,553,60820
BURNETT,554,60791
MERCADO,555,60761
SANTANA,556,60667
SHEPHERD,557,60479
BAUTISTA,558,60264
ALI,559,60002
SHAFFER,560,59943
LAMB,561,59913
TREVINO,562,59882
MCKENZIE,563,59595
HESS,564,59486
BEIL,565,59463
OLSEN,566,59356
COCHRAN,567,59350
MORTON,568,59213
NASH,569,58714
WILKINS,570,58634
PETERSEN,571,58480
BRIGGS,572,58408
SHAH,573,58287
ROTH,574,58278
NICHOLSON,575,58151
HOLLOWAY,576,58040
LOZANO,577,57779
RANGEL,578,57549
FLOWERS,578,57549
HOOVER,580,57497
SHORT,581,57477
ARIAS,581,57477
MORA,583,57464
VALENZUELA,584,57383
BRYAN,585,57143
MEYERS,586,57127
WEISS,587,57112
UNDERWOOD,588,57064
BASS,589,57044
GREER,590,57043
SUMMERS,591,56953
HOUSTON,592,56900
CARSON,593,56872
MORROW,594,56840
CLAYTON,595,56638
WHITAKER,596,56616
DECKER,597,56576
YODER,598,56410
COLLIER,599,56380
ZUNIGA,600,56347
CAREY,601,56322
WILCOX,602,56286
MELENDEZ,603,56230
POOLE,604,56226
ROBERSON,605,56180
LARSEN,606,55960
CONLEY,607,55917
DAVENPORT,608,55895
COPELAND,609,55850
MASSEY,610,55595
LAM,611,55554
HUFF,612,55484
ROCHA,613,55251
CAMERON,614,55240
JEFFERSON,615,55179
HOOD,616,55174
MONROE,617,55136
ANTHONY,618,55114
PITTMAN,619,55021
HUYNH,620,54996
RANDALL,621,54764
SINGLETON,622,54621
KIRK,623,54394
COMBS,624,54257
MATHIS,625,54217
CHRISTIAN,626,54198
SKINNER,627,54046
BRADFORD,628,54015
RICHARD,629,53893
GALVAN,630,53822
WALL,631,53794
BOONE,632,53792
KIRBY,633,53767
WILKINSON,634,53739
BRIDGES,635,53682
BRUCE,636,53419
ATKINSON,637,53376
VELEZ,638,53265
MEZA,639,53230
ROY,640,53159
VINCENT,641,53095
YORK,642,53059
HODGE,643,52920
VILLA,644,52817
ABBOTT,645,52739
ALLISON,646,52701
TAPIA,647,52651
GATES,648,52569
CHASE,649,52481
SOSA,650,52457
SWEENEY,651,52410
FARRELL,652,52321
WYATT,653,52211
DALTON,654,52184
HORN,655,52138
BARRON,656,52070
PHELPS,657,52044
YU,658,52035
DICKERSON,659,51889
HEATH,660,51877
FOLEY,661,51865
ATKINS,662,51671
MATHEWS,663,51592
BONILLA,664,51475
ACEVEDO,665,51351
BENITEZ,666,51288
ZAVALA,667,51153
HENSLEY,668,51081
GLENN,669,51043
CISNEROS,670,50920
HARRELL,671,50837
SHIELDS,672,50832
RUBIO,673,50788
HUFFMAN,674,50786
CHOI,674,50786
BOYER,676,50742
GARRISON,677,50686
ARROYO,678,50614
BOND,679,50610
KANE,680,50584
HANCOCK,681,50558
CALLAHAN,682,50524
DILLON,683,50465
CLINE,684,50258
WIGGINS,685,50247
GRIMES,686,50245
ARELLANO,687,50104
MELTON,688,50069
ONEILL,689,50028
SAVAGE,690,49914
HO,691,49817
BELTRAN,692,49776
PITTS,693,49740
PARRISH,694,49733
PONCE,695,49549
RICH,696,49481
BOOTH,697,49402
KOCH,698,49395
GOLDEN,699,49360
WARE,700,49316
BRENNAN,701,49238
MCDOWELL,702,49217
MARKS,703,49177
CANTU,704,49126
HUMPHREY,705,49056
BAXTER,706,49033
SAWYER,707,49028
CLAY,708,48844
TANNER,709,48813
HUTCHINSON,710,48781
KAUR,711,48753
BERG,712,48746
WILEY,713,48720
GILMORE,714,48719
RUSSO,715,48696
VILLEGAS,716,48599
HOBBS,717,48522
KEITH,718,48487
WILKERSON,719,48444
AHMED,720,48319
BEARD,721,48207
MCCLAIN,722,48165
MONTES,723,48142
MATA,724,48120
ROSARIO,725,48051
VANG,726,48036
WALTER,727,48024
HENSON,728,48013
ONEAL,729,47979
MOSLEY,730,47963
MCCLURE,731,47742
BEASLEY,732,47693
STEPHENSON,733,47641
SNOW,734,47528
HUERTA,735,47455
PRESTON,736,47367
VANCE,737,47324
BARRY,738,47274
JOHNS,739,47246
EATON,740,47184
BLACKWELL,741,47175
DYER,742,47170
PRINCE,743,47168
MACDONALD,744,46717
SOLOMON,745,46534
GUEVARA,746,46454
STAFFORD,747,46394
ENGLISH,748,46393
HURST,749,46244
WOODARD,750,46240
CORTES,751,46229
SHANNON,752,46147
KEMP,753,46146
NOLAN,754,46054
MCCULLOUGH,755,45852
MERRITT,756,45594
MURILLO,757,45558
MOON,758,45528
SALGADO,759,45469
STRONG,760,45432
KLINE,761,45390
CORDOVA,762,45305
BARAJAS,763,45153
ROACH,764,45019
ROSAS,765,44938
WINTERS,766,44914
JACOBSON,767,44808
LESTER,768,44784
KNOX,769,44742
BULLOCK,770,44740
KERR,771,44711
LEACH,772,44581
MEADOWS,773,44500
ORR,774,44388
DAVILA,774,44388
WHITEHEAD,776,44373
PRUITT,777,44365
KENT,778,44325
CONWAY,779,44320
MCKEE,780,44137
BARR,781,44130
DAVID,782,44040
DEJESUS,783,44038
MARIN,784,43904
BERGER,785,43851
MCINTYRE,786,43842
BLANKENSHIP,787,43830
GAINES,788,43821
PALACIOS,789,43798
CUEVAS,790,43701
BARTLETT,791,43648
DURHAM,792,43635
DORSEY,793,43631
MCCALL,794,43483
ODONNELL,795,43460
STEIN,796,43389
BROWNING,797,43329
STOUT,798,43305
LOWERY,799,43278
SLOAN,800,43261
MCLEAN,801,43260
HENDRICKS,802,43197
CALHOUN,803,43180
SEXTON,804,43133
CHUNG,805,43110
GENTRY,806,43027
HULL,807,43018
DUARTE,808,42983
ELLISON,809,42827
NIELSEN,810,42773
GILLESPIE,811,42693
BUCK,812,42639
MIDDLETON,813,42578
SELLERS,814,42577
LEBLANC,815,42575
ESPARZA,816,42559
HARDIN,817,42469
BRADSHAW,818,42465
MCINTOSH,819,42379
HOWE,820,42265
LIVINGSTON,821,42103
FROST,822,42015
GLASS,823,41802
MORSE,824,41774
KNAPP,825,41771
HERMAN,826,41750
STARK,827,41735
BRAVO,828,41700
NOBLE,829,41667
SPEARS,830,41665
WEEKS,831,41565
CORONA,832,41553
FREDERICK,833,41394
BUCKLEY,834,41348
MCFARLAND,835,41300
HEBERT,836,41275
ENRIQUEZ,837,41271
HICKMAN,838,41163
QUINTERO,839,41158
RANDOLPH,840,41129
SCHAEFER,841,41063
WALLS,842,41025
TREJO,843,41021
HOUSE,844,41000
REILLY,845,40884
PENNINGTON,846,40854
MICHAEL,847,40736
CONRAD,848,40707
GILES,849,40598
BENJAMIN,850,40590
CROSBY,851,40563
FITZPATRICK,852,40449
DONOVAN,853,40410
MAYS,854,40408
MAHONEY,855,40397
VALENTINE,856,40395
RAYMOND,857,40275
MEDRANO,858,40261
HAHN,859,40250
MCMILLAN,860,40237
SMALL,861,40212
BENTLEY,862,40193
FELIX,863,40165
PECK,864,40055
LUCERO,865,39986
BOYLE,866,39921
HANNA,867,39890
PACE,868,39879
RUSH,869,39802
HURLEY,870,39796
HARDING,871,39787
MCCONNELL,872,39754
BERNAL,873,39693
NAVA,874,39670
AYERS,875,39623
EVERETT,876,39593
VENTURA,877,39580
AVERY,878,39564
PUGH,879,39559
MAYER,880,39555
BENDER,881,39551
SHEPARD,882,39430
MCMAHON,883,39411
LANDRY,884,39391
CASE,885,39319
SAMPSON,886,39277
MOSES,887,39216
MAGANA,888,39105
BLACKBURN,889,39097
DUNLAP,890,39063
GOULD,891,38924
DUFFY,892,38835
VAUGHAN,893,38830
HERRING,894,38733
MCKAY,895,38681
ESPINOSA,896,38667
RIVERS,897,38662
FARLEY,898,38528
BERNARD,899,38512
ASHLEY,900,38499
FRIEDMAN,901,38374
