City,Population2010,Rank
"Idaho Falls city, Idaho",56813,606
"Orland Park village, Illinois",56767,607
"Tinley Park village, Illinois",56703,608
"Oak Lawn village, Illinois",56690,609
"Berwyn city, Illinois",56657,610
"West Des Moines city, Iowa",56609,611
"Marietta city, Georgia",56579,612
"Wellington village, Florida",56508,613
"Mansfield city, Texas",56368,614
"Arcadia city, California",56364,615
"Ocala city, Florida",56315,616
"Conroe city, Texas",56207,617
"Rowlett city, Texas",56199,618
"Medford city, Massachusetts",56173,619
"Kettering city, Ohio",56163,620
"Anderson city, Indiana",56129,621
"Port Orange city, Florida",56048,622
"Rogers city, Arkansas",55964,623
"Lakeville city, Minnesota",55954,624
"Broomfield city, Colorado",55889,625
"Taunton city, Massachusetts",55874,626
"Decatur city, Alabama",55683,627
"West Haven city, Connecticut",55564,628
"Diamond Bar city, California",55544,629
"Woodland city, California",55468,630
"Casper city, Wyoming",55316,631
"Fountain Valley city, California",55313,632
"Chicopee city, Massachusetts",55298,633
"Carson City, Nevada",55274,634
"Novi city, Michigan",55224,635
"New Brunswick city, New Jersey",55181,636
"Jupiter town, Florida",55156,637
"Moore city, Oklahoma",55081,638
"Bowie city, Maryland",54727,639
"Bartlett city, Tennessee",54613,640
"Elyria city, Ohio",54533,641
"Valdosta city, Georgia",54518,642
"Corvallis city, Oregon",54462,643
"Midwest City city, Oklahoma",54371,644
"Pocatello city, Idaho",54255,645
"Mount Prospect village, Illinois",54167,646
"Porterville city, California",54165,647
"Redmond city, Washington",54144,648
"Paramount city, California",54098,649
"Hanford city, California",53967,650
"Hempstead village, New York",53891,651
"Port Arthur city, Texas",53818,652
"Rosemead city, California",53764,653
"Weymouth Town city, Massachusetts",53743,654
"Sanford city, Florida",53570,655
"Santee city, California",53413,656
"Auburn city, Alabama",53380,657
"Margate city, Florida",53284,658
"Highland city, California",53104,659
"Delano city, California",53041,660
"Shoreline city, Washington",53007,661
"Coconut Creek city, Florida",52909,662
"Wheaton city, Illinois",52894,663
"Grand Forks city, North Dakota",52838,664
"Blue Springs city, Missouri",52575,665
"St. Peters city, Missouri",52575,666
"Lake Havasu City city, Arizona",52527,667
"Normal town, Illinois",52497,668
"Battle Creek city, Michigan",52347,669
"Manhattan city, Kansas",52281,670
"Florissant city, Missouri",52158,671
"Colton city, California",52154,672
"Lakewood city, Ohio",52131,673
"Noblesville city, Indiana",51969,674
"Pensacola city, Florida",51923,675
"Sarasota city, Florida",51917,676
"Novato city, California",51904,677
"Hoffman Estates village, Illinois",51895,678
"Oak Park village, Illinois",51878,679
"Lake Elsinore city, California",51821,680
"Revere city, Massachusetts",51755,681
"Saginaw city, Michigan",51508,682
"Brentwood city, California",51481,683
"Charleston city, West Virginia",51400,684
"Hendersonville city, Tennessee",51372,685
"Yucaipa city, California",51367,686
"La Crosse city, Wisconsin",51320,687
"Euless city, Texas",51277,688
"Milford city (balance), Connecticut",51271,689
"Smyrna city, Georgia",51271,690
"Peabody city, Massachusetts",51251,691
"Cathedral City city, California",51200,692
"Watsonville city, California",51199,693
"Elkhart city, Indiana",50949,694
"Buckeye city, Arizona",50876,695
"Perth Amboy city, New Jersey",50814,696
"Placentia city, California",50533,697
"South Jordan city, Utah",50418,698
"Niagara Falls city, New York",50193,699
"Albany city, Oregon",50158,700
"Joplin city, Missouri",50150,701
"Bellevue city, Nebraska",50137,702
"Troy city, New York",50129,703
"Glendora city, California",50073,704
"Hoboken city, New Jersey",50005,705
"Burlington city, North Carolina",49963,706
"Plainfield city, New Jersey",49808,707
"Greenwood city, Indiana",49791,708
"Minnetonka city, Minnesota",49734,709
"West New York town, New Jersey",49708,710
"Cuyahoga Falls city, Ohio",49652,711
"Bradenton city, Florida",49546,712
"Harrisburg city, Pennsylvania",49528,713
"Enid city, Oklahoma",49379,714
"Sheboygan city, Wisconsin",49288,715
"Wilson city, North Carolina",49167,716
"Huntington city, West Virginia",49138,717
"Apple Valley city, Minnesota",49084,718
"Pine Bluff city, Arkansas",49083,719
"Pinellas Park city, Florida",49079,720
"DeSoto city, Texas",49047,721
"Cerritos city, California",49041,722
"Southaven city, Mississippi",48982,723
"Cedar Park city, Texas",48937,724
"Euclid city, Ohio",48920,725
"Harrisonburg city, Virginia",48914,726
"Gilroy city, California",48821,727
"Monroe city, Louisiana",48815,728
"Kirkland city, Washington",48787,729
"West Sacramento city, California",48744,730
"Kentwood city, Michigan",48707,731
"Middletown city, Ohio",48694,732
"East Lansing city, Michigan",48579,733
"Casa Grande city, Arizona",48571,734
"La Mirada city, California",48527,735
"Grand Island city, Nebraska",48520,736
"Palm Beach Gardens city, Florida",48452,737
"Palm Desert city, California",48445,738
"Roswell city, New Mexico",48366,739
"Mishawaka city, Indiana",48252,740
"Castle Rock town, Colorado",48231,741
"Kingsport city, Tennessee",48205,742
"Lenexa city, Kansas",48190,743
"Logan city, Utah",48174,744
"Richland city, Washington",48058,745
"Tigard city, Oregon",48035,746
"Edina city, Minnesota",47941,747
"Rancho Santa Margarita city, California",47853,748
"Downers Grove village, Illinois",47833,749
"Aliso Viejo city, California",47823,750
"Mansfield city, Ohio",47821,751
"Poway city, California",47811,752
"Cypress city, California",47802,753
"Covina city, California",47796,754
"Galveston city, Texas",47743,755
"Alexandria city, Louisiana",47723,756
"Salina city, Kansas",47707,757
"Middletown city, Connecticut",47648,758
"Newark city, Ohio",47573,759
"Chesterfield city, Missouri",47484,760
"Lehi city, Utah",47407,761
"Georgetown city, Texas",47400,762
"Binghamton city, New York",47376,763
"Roseville city, Michigan",47299,764
"Methuen Town city, Massachusetts",47255,765
"Mentor city, Ohio",47159,766
"East Providence city, Rhode Island",47037,767
"Bedford city, Texas",46979,768
"Pflugerville city, Texas",46936,769
"Coral Gables city, Florida",46780,770
"Huntersville town, North Carolina",46773,771
"Murray city, Utah",46746,772
"Olympia city, Washington",46478,773
"Wauwatosa city, Wisconsin",46396,774
"Azusa city, California",46361,775
"Grapevine city, Texas",46334,776
"Altoona city, Pennsylvania",46320,777
"Portage city, Michigan",46292,778
"Dunwoody city, Georgia",46267,779
"Caldwell city, Idaho",46237,780
"Cleveland Heights city, Ohio",46121,781
"Dublin city, California",46036,782
"Lawrence city, Indiana",46001,783
"Hattiesburg city, Mississippi",45989,784
"Commerce City city, Colorado",45913,785
"Farmington city, New Mexico",45877,786
"Sammamish city, Washington",45780,787
"Doral city, Florida",45704,788
"Stillwater city, Oklahoma",45688,789
"Ankeny city, Iowa",45582,790
"Kokomo city, Indiana",45468,791
"Ceres city, California",45417,792
"Parker town, Colorado",45297,793
"St. Louis Park city, Minnesota",45250,794
"Barnstable Town city, Massachusetts",45193,795
"Beavercreek city, Ohio",45193,796
"San Luis Obispo city, California",45119,797
"Texas City city, Texas",45099,798
"Cedar Hill city, Texas",45028,799
"Jeffersonville city, Indiana",44953,800
"San Marcos city, Texas",44894,801
"Strongsville city, Ohio",44750,802
"Pittsfield city, Massachusetts",44737,803
"Glenview village, Illinois",44692,804
"Palm Springs city, California",44552,805
